id,experiment,trial,manipulation,item,correct
id4,Experiment 1a,1,Test - Point,Frog,1
id4,Experiment 1a,2,Test - Point + Label,Mouse,1
id4,Experiment 1a,3,Test - Point + Label,Bunny,1
id4,Experiment 1a,4,Test - Look,Pig,1
id4,Experiment 1a,5,Test - Look + Label,Tiger,1
id4,Experiment 1a,6,Test - Look,Bear,1
id4,Experiment 1a,7,Test - Look + Label,Dog,1
id4,Experiment 1a,8,Test - Point,Elephant,1
id10,Experiment 1a,1,Test - Point,Elephant,1
id10,Experiment 1a,2,Test - Point + Label,Pig,0
id10,Experiment 1a,3,Test - Point + Label,Frog,1
id10,Experiment 1a,4,Test - Point,Bunny,1
id10,Experiment 1a,5,Test - Look + Label,Cat,1
id10,Experiment 1a,6,Test - Look,Mouse,1
id10,Experiment 1a,7,Test - Look + Label,Bear,1
id10,Experiment 1a,8,Test - Look,Monkey,1
id12,Experiment 1a,1,Test - Look + Label,Dog,1
id12,Experiment 1a,2,Test - Point,Sheep,1
id12,Experiment 1a,3,Test - Point + Label,Bear,0
id12,Experiment 1a,4,Test - Look,Bunny,1
id12,Experiment 1a,5,Test - Point,Pig,1
id12,Experiment 1a,6,Test - Look + Label,Monkey,0
id12,Experiment 1a,7,Test - Look,Frog,1
id12,Experiment 1a,8,Test - Point + Label,Tiger,0
id14,Experiment 1a,1,Test - Look + Label,Tiger,1
id14,Experiment 1a,2,Test - Look,Mouse,1
id14,Experiment 1a,3,Test - Point + Label,Bunny,1
id14,Experiment 1a,4,Test - Point,Bear,0
id14,Experiment 1a,5,Test - Look,Monkey,1
id14,Experiment 1a,6,Test - Point + Label,Sheep,1
id14,Experiment 1a,7,Test - Look + Label,Frog,1
id14,Experiment 1a,8,Test - Point,Pig,1
id17,Experiment 1a,1,Test - Look + Label,Frog,1
id17,Experiment 1a,2,Test - Look,Bunny,1
id17,Experiment 1a,3,Test - Point,Elephant,0
id17,Experiment 1a,4,Test - Point + Label,Pig,0
id17,Experiment 1a,5,Test - Look,Dog,1
id17,Experiment 1a,6,Test - Look + Label,Monkey,0
id17,Experiment 1a,7,Test - Point,Mouse,0
id17,Experiment 1a,8,Test - Point + Label,Tiger,0
id23,Experiment 1a,1,Test - Look + Label,Sheep,1
id23,Experiment 1a,2,Test - Point,Bear,0
id23,Experiment 1a,3,Test - Point,Frog,1
id23,Experiment 1a,4,Test - Point + Label,Monkey,1
id23,Experiment 1a,5,Test - Look + Label,Dog,0
id23,Experiment 1a,6,Test - Look,Elephant,1
id23,Experiment 1a,7,Test - Look,Pig,1
id23,Experiment 1a,8,Test - Point + Label,Tiger,1
id24,Experiment 1a,1,Test - Look,Monkey,1
id24,Experiment 1a,2,Test - Point + Label,Elephant,1
id24,Experiment 1a,3,Test - Point + Label,Frog,1
id24,Experiment 1a,4,Test - Look + Label,Pig,1
id24,Experiment 1a,5,Test - Point,Bunny,1
id24,Experiment 1a,6,Test - Look + Label,Bear,1
id24,Experiment 1a,7,Test - Point,Tiger,1
id24,Experiment 1a,8,Test - Look,Cat,1
id25,Experiment 1a,1,Test - Point + Label,Sheep,1
id25,Experiment 1a,2,Test - Look,Mouse,1
id25,Experiment 1a,3,Test - Point,Dog,0
id25,Experiment 1a,4,Test - Look + Label,Frog,0
id25,Experiment 1a,5,Test - Point,Elephant,1
id25,Experiment 1a,6,Test - Point + Label,Pig,1
id25,Experiment 1a,7,Test - Look + Label,Monkey,1
id25,Experiment 1a,8,Test - Look,Bunny,0
id27,Experiment 1a,1,Test - Look,Mouse,0
id27,Experiment 1a,2,Test - Point,Elephant,1
id27,Experiment 1a,3,Test - Point + Label,Cat,0
id27,Experiment 1a,4,Test - Look + Label,Dog,1
id27,Experiment 1a,5,Test - Look,Pig,1
id27,Experiment 1a,6,Test - Point + Label,Monkey,1
id27,Experiment 1a,7,Test - Look + Label,Sheep,1
id27,Experiment 1a,8,Test - Point,Tiger,0
id30,Experiment 1a,1,Test - Look,Bear,0
id30,Experiment 1a,2,Test - Point + Label,Mouse,1
id30,Experiment 1a,3,Test - Point,Bunny,1
id30,Experiment 1a,4,Test - Point + Label,Pig,1
id30,Experiment 1a,5,Test - Look + Label,Frog,0
id30,Experiment 1a,6,Test - Look + Label,Sheep,1
id30,Experiment 1a,7,Test - Look,Monkey,1
id30,Experiment 1a,8,Test - Point,Dog,0
id34,Experiment 1a,1,Test - Point,Tiger,1
id34,Experiment 1a,2,Test - Look,Monkey,1
id34,Experiment 1a,3,Test - Point,Bunny,1
id34,Experiment 1a,4,Test - Look,Bear,1
id34,Experiment 1a,5,Test - Point + Label,Dog,0
id34,Experiment 1a,6,Test - Point + Label,Elephant,1
id34,Experiment 1a,7,Test - Look + Label,Mouse,0
id34,Experiment 1a,8,Test - Look + Label,Frog,1
id37,Experiment 1a,1,Test - Point + Label,Cat,0
id37,Experiment 1a,2,Test - Look,Elephant,0
id37,Experiment 1a,3,Test - Point + Label,Tiger,0
id37,Experiment 1a,4,Test - Look + Label,Dog,1
id37,Experiment 1a,5,Test - Point,Sheep,0
id37,Experiment 1a,6,Test - Look + Label,Bear,1
id37,Experiment 1a,7,Test - Look,Pig,0
id37,Experiment 1a,8,Test - Point,Bunny,0
id47,Experiment 1a,1,Test - Point,Pig,1
id47,Experiment 1a,2,Test - Point + Label,Bunny,1
id47,Experiment 1a,3,Test - Point,Cat,1
id47,Experiment 1a,4,Test - Point + Label,Sheep,1
id47,Experiment 1a,5,Test - Look + Label,Mouse,1
id47,Experiment 1a,6,Test - Look + Label,Monkey,1
id47,Experiment 1a,7,Test - Look,Bear,0
id47,Experiment 1a,8,Test - Look,Frog,1
id50,Experiment 1a,1,Test - Look,Tiger,1
id50,Experiment 1a,2,Test - Look + Label,Monkey,1
id50,Experiment 1a,3,Test - Look + Label,Elephant,1
id50,Experiment 1a,4,Test - Point + Label,Bear,1
id50,Experiment 1a,5,Test - Point,Pig,1
id50,Experiment 1a,6,Test - Point,Mouse,1
id50,Experiment 1a,7,Test - Look,Sheep,0
id50,Experiment 1a,8,Test - Point + Label,Bunny,1
id53,Experiment 1a,1,Test - Point,Bunny,0
id53,Experiment 1a,2,Test - Look + Label,Tiger,0
id53,Experiment 1a,3,Test - Look + Label,Mouse,1
id53,Experiment 1a,4,Test - Point + Label,Monkey,1
id53,Experiment 1a,5,Test - Point + Label,Pig,1
id53,Experiment 1a,6,Test - Point,Dog,1
id53,Experiment 1a,7,Test - Look,Sheep,1
id53,Experiment 1a,8,Test - Look,Frog,1
id67,Experiment 1a,1,Test - Point + Label,Monkey,1
id67,Experiment 1a,2,Test - Look,Mouse,1
id67,Experiment 1a,3,Test - Point,Bunny,1
id67,Experiment 1a,4,Test - Point + Label,Sheep,1
id67,Experiment 1a,5,Test - Look + Label,Frog,1
id67,Experiment 1a,6,Test - Look,Pig,1
id67,Experiment 1a,7,Test - Look + Label,Dog,1
id67,Experiment 1a,8,Test - Point,Bear,1
id68,Experiment 1a,1,Test - Point + Label,Bunny,1
id68,Experiment 1a,2,Test - Point + Label,Tiger,1
id68,Experiment 1a,3,Test - Point,Dog,1
id68,Experiment 1a,4,Test - Point,Monkey,1
id68,Experiment 1a,5,Test - Look,Cat,1
id68,Experiment 1a,6,Test - Look + Label,Bear,1
id68,Experiment 1a,7,Test - Look + Label,Mouse,1
id68,Experiment 1a,8,Test - Look,Elephant,1
id70,Experiment 1a,1,Test - Point,Bunny,1
id70,Experiment 1a,2,Test - Point + Label,Pig,1
id70,Experiment 1a,3,Test - Look + Label,Mouse,1
id70,Experiment 1a,4,Test - Point + Label,Sheep,1
id70,Experiment 1a,5,Test - Look + Label,Frog,1
id70,Experiment 1a,6,Test - Look,Monkey,1
id70,Experiment 1a,7,Test - Point,Tiger,1
id70,Experiment 1a,8,Test - Look,Dog,1
id73,Experiment 1a,1,Test - Point + Label,Mouse,1
id73,Experiment 1a,2,Test - Look + Label,Bunny,1
id73,Experiment 1a,3,Test - Look + Label,Monkey,1
id73,Experiment 1a,4,Test - Point,Tiger,1
id73,Experiment 1a,5,Test - Point + Label,Pig,1
id73,Experiment 1a,6,Test - Look,Frog,1
id73,Experiment 1a,7,Test - Point,Cat,0
id73,Experiment 1a,8,Test - Look,Bear,1
id74,Experiment 1a,1,Test - Point + Label,Elephant,1
id74,Experiment 1a,2,Test - Point + Label,Frog,1
id74,Experiment 1a,3,Test - Look,Cat,1
id74,Experiment 1a,4,Test - Look + Label,Dog,1
